"optionid","cp_flag","total_return_pct","cumulative_gain","initial_value"
46372170,"P",-4.4299001885866,-1.29159161,29.15622373
46372170,"P",-4.4299001885866,-1.29159161,29.15622373
46372170,"P",-4.4299001885866,-1.29159161,29.15622373
46372170,"P",-4.4299001885866,-1.29159161,29.15622373
46372170,"P",-4.4299001885866,-1.29159161,29.15622373
46372170,"P",-4.4299001885866,-1.29159161,29.15622373
46372170,"P",-4.4299001885866,-1.29159161,29.15622373
46372170,"P",-3.06749925467093,-0.665857600000002,21.7068545
46372170,"P",-3.06749925467093,-0.665857600000002,21.7068545
46372170,"P",-3.06749925467093,-0.665857600000002,21.7068545
46372170,"P",-3.06749925467093,-0.665857600000002,21.7068545
46372170,"P",-3.06749925467093,-0.665857600000002,21.7068545
46372170,"P",-3.06749925467093,-0.665857600000002,21.7068545
46372170,"P",-3.06749925467093,-0.665857600000002,21.7068545
46372170,"P",-4.24977542543482,-1.63213833,38.4052842
46372170,"P",-4.24977542543482,-1.63213833,38.4052842
46372170,"P",-4.24977542543482,-1.63213833,38.4052842
46372170,"P",-4.24977542543482,-1.63213833,38.4052842
46372170,"P",-4.24977542543482,-1.63213833,38.4052842
46372170,"P",-4.24977542543482,-1.63213833,38.4052842
46372170,"P",-4.24977542543482,-1.63213833,38.4052842
46372170,"P",-4.81371566023967,-1.80974878,37.59567261
46372170,"P",-4.81371566023967,-1.80974878,37.59567261
46372170,"P",-4.81371566023967,-1.80974878,37.59567261
46372170,"P",-4.81371566023967,-1.80974878,37.59567261
46372170,"P",-4.81371566023967,-1.80974878,37.59567261
46372170,"P",-4.81371566023967,-1.80974878,37.59567261
46372170,"P",-4.81371566023967,-1.80974878,37.59567261
46372170,"P",-3.14757637232772,-1.10706938,35.17212131
46372170,"P",-3.14757637232772,-1.10706938,35.17212131
46372170,"P",-3.14757637232772,-1.10706938,35.17212131
46372170,"P",-3.14757637232772,-1.10706938,35.17212131
46372170,"P",-3.14757637232772,-1.10706938,35.17212131
46372170,"P",-3.14757637232772,-1.10706938,35.17212131
46372170,"P",-3.14757637232772,-1.10706938,35.17212131
46372170,"P",1.86457122499838,0.250171399999999,13.41710076
46372170,"P",1.86457122499838,0.250171399999999,13.41710076
46372170,"P",1.86457122499838,0.250171399999999,13.41710076
46372170,"P",1.86457122499838,0.250171399999999,13.41710076
46372170,"P",-3.16294979750646,-0.908556890000005,28.72498611
46372170,"P",-3.16294979750646,-0.908556890000005,28.72498611
46372170,"P",-3.16294979750646,-0.908556890000005,28.72498611
46372170,"P",-3.16294979750646,-0.908556890000005,28.72498611
46372170,"P",-3.16294979750646,-0.908556890000005,28.72498611
46372170,"P",-3.16294979750646,-0.908556890000005,28.72498611
46372170,"P",-3.16294979750646,-0.908556890000005,28.72498611
46372170,"P",1.86457122499838,0.250171399999999,13.41710076
46372170,"P",1.86457122499838,0.250171399999999,13.41710076
46372170,"P",1.86457122499838,0.250171399999999,13.41710076
46640330,"P",-2.78840900790347,-13.8637384086704,497.1917093
46640330,"P",-2.78840900790347,-13.8637384086704,497.1917093
46640330,"P",-1.79455770066691,-6.83091781000005,380.64631789
46640330,"P",-1.79455770066691,-6.83091781000005,380.64631789
45301782,"P",-2.0081766215686,-7.00191895000003,348.67047424
45436967,"P",-6.84052821054869,-1.56910839,22.93840975
45436967,"P",-6.84052821054869,-1.56910839,22.93840975
45436967,"P",-6.84052821054869,-1.56910839,22.93840975
45436967,"P",-6.84052821054869,-1.56910839,22.93840975
45436967,"P",-6.84052821054869,-1.56910839,22.93840975
45436967,"P",-5.85220920261261,-1.05675748,18.0574112
45436967,"P",-5.85220920261261,-1.05675748,18.0574112
45436967,"P",-5.85220920261261,-1.05675748,18.0574112
45436967,"P",-5.85220920261261,-1.05675748,18.0574112
45436967,"P",-5.85220920261261,-1.05675748,18.0574112
45436967,"P",-5.80583065170293,-0.912052219999999,15.70924601
45436967,"P",-5.80583065170293,-0.912052219999999,15.70924601
45436967,"P",-5.80583065170293,-0.912052219999999,15.70924601
45436967,"P",-5.80583065170293,-0.912052219999999,15.70924601
45436967,"P",-5.80583065170293,-0.912052219999999,15.70924601
45436967,"P",-5.9131333419792,-0.69931943,11.82654592
45436967,"P",-5.9131333419792,-0.69931943,11.82654592
45436967,"P",-5.9131333419792,-0.69931943,11.82654592
45436967,"P",-6.99033801825012,-1.58235535,22.63632096
45436967,"P",-6.99033801825012,-1.58235535,22.63632096
45436967,"P",-6.99033801825012,-1.58235535,22.63632096
45436967,"P",-6.99033801825012,-1.58235535,22.63632096
45436967,"P",-6.99033801825012,-1.58235535,22.63632096
45436967,"P",-5.67096965197426,-0.67067983,11.82654592
45436967,"P",-5.9131333419792,-0.69931943,11.82654592
45438492,"C",-1.78298039831984,-6.97615342998025,391.26360764
45081096,"C",-2.13961333622211,-7.79142956999992,364.15129024
45081096,"C",-1.48961453188666,-6.96320421999996,467.45007322
45081096,"C",-1.48961453188666,-6.96320421999996,467.45007322
45081096,"C",-2.13961333622211,-7.79142956999992,364.15129024
45539642,"P",0,0,432.919933
45000851,"P",-0.134797839923318,-0.751026310000003,557.15010747
45000851,"P",-0.134797839923318,-0.751026310000003,557.15010747
45000851,"P",-0.684101822064923,-4.12772166000005,603.37825845
45000851,"P",-0.684101822064923,-4.12772166000005,603.37825845
45477098,"C",-2.4010333371355,-7.63748073999999,318.09140764
45649042,"P",-2.46631074525908,-5.13855798000001,208.34998144
46540325,"P",-2.3766175496509,-2.24007878000001,94.254912
46540325,"P",-2.3766175496509,-2.24007878000001,94.254912
46540325,"P",-3.85679218363089,-5.27562923000002,136.78800876
46540325,"P",-3.85679218363089,-5.27562923000002,136.78800876
45814960,"C",-3.70553752709037,-6.45839773999999,174.29044215
46486756,"P",-2.99140533888997,-4.30626419000001,143.9545532
46486756,"P",-2.99140533888997,-4.30626419000001,143.9545532
46486756,"P",-2.99140533888997,-4.30626419000001,143.9545532
46486756,"P",-3.03113127682596,-5.00599189000001,165.15259264
46486756,"P",-3.03113127682596,-5.00599189000001,165.15259264
46486756,"P",-3.03113127682596,-5.00599189000001,165.15259264
46486756,"P",-3.99211852175002,-9.08072097000001,227.46621676
46486756,"P",-3.99211852175002,-9.08072097000001,227.46621676
46486756,"P",-3.99211852175002,-9.08072097000001,227.46621676
45801653,"P",0.850574165347496,0.280388059999996,32.9645634
45801653,"P",0.850574165347496,0.280388059999996,32.9645634
45801653,"P",0.850574165347496,0.280388059999996,32.9645634
45801653,"P",0.850574165347496,0.280388059999996,32.9645634
45801653,"P",0.850574165347496,0.280388059999996,32.9645634
45801653,"P",-3.57595784944982,-6.19976439209321,173.37353104
45801653,"P",-3.57595784944982,-6.19976439209321,173.37353104
45801653,"P",-3.57595784944982,-6.19976439209321,173.37353104
45801653,"P",-3.57595784944982,-6.19976439209321,173.37353104
45801653,"P",-3.57595784944982,-6.19976439209321,173.37353104
45801653,"P",-3.57595784944982,-6.19976439209321,173.37353104
45801653,"P",-3.57595784944982,-6.19976439209321,173.37353104
45801653,"P",-3.92546395647098,-4.9833244509015,126.94867425
45801653,"P",-3.92546395647098,-4.9833244509015,126.94867425
45801653,"P",-3.92546395647098,-4.9833244509015,126.94867425
45801653,"P",-3.92546395647098,-4.9833244509015,126.94867425
45801653,"P",-3.92546395647098,-4.9833244509015,126.94867425
45801653,"P",-3.92546395647098,-4.9833244509015,126.94867425
45801653,"P",-3.92546395647098,-4.9833244509015,126.94867425
45801653,"P",-3.805842444355,-2.39162884,62.84098396
45801653,"P",-3.805842444355,-2.39162884,62.84098396
45801653,"P",-3.08835031453473,-2.29042736000001,74.16345708
45801653,"P",-3.08835031453473,-2.29042736000001,74.16345708
45801653,"P",-3.08835031453473,-2.29042736000001,74.16345708
45801653,"P",-3.08835031453473,-2.29042736000001,74.16345708
45801653,"P",-3.08835031453473,-2.29042736000001,74.16345708
45801653,"P",-3.08835031453473,-2.29042736000001,74.16345708
45801653,"P",-3.08835031453473,-2.29042736000001,74.16345708
45801653,"P",-3.09717315482266,-5.81463826375101,187.7401738
45801653,"P",-3.09717315482266,-5.81463826375101,187.7401738
45801653,"P",-3.09717315482266,-5.81463826375101,187.7401738
45801653,"P",-3.09717315482266,-5.81463826375101,187.7401738
45801653,"P",-3.09717315482266,-5.81463826375101,187.7401738
45801653,"P",-3.09717315482266,-5.81463826375101,187.7401738
45801653,"P",-3.09717315482266,-5.81463826375101,187.7401738
45801653,"P",0.753011300180342,0.249578519999995,33.14406038
45801653,"P",0.753011300180342,0.249578519999995,33.14406038
45801653,"P",0.753011300180342,0.249578519999995,33.14406038
45801653,"P",0.753011300180342,0.249578519999995,33.14406038
45801653,"P",0.753011300180342,0.249578519999995,33.14406038
45801653,"P",0.753011300180342,0.249578519999995,33.14406038
45801653,"P",0.753011300180342,0.249578519999995,33.14406038
45801653,"P",-3.805842444355,-2.39162884,62.84098396
45801653,"P",-3.805842444355,-2.39162884,62.84098396
45801653,"P",-3.805842444355,-2.39162884,62.84098396
45801653,"P",0.850574165347496,0.280388059999996,32.9645634
45801653,"P",-3.805842444355,-2.39162884,62.84098396
45801653,"P",-3.805842444355,-2.39162884,62.84098396
45801653,"P",0.850574165347496,0.280388059999996,32.9645634
46722194,"P",-6.99351459896755,-1.9933843069624,28.5033266
46722194,"P",-5.40720800270542,-1.01053331,18.68863394
46722194,"P",-5.40720800270542,-1.01053331,18.68863394
46722194,"P",-5.40720800270542,-1.01053331,18.68863394
46722194,"P",-5.40720800270542,-1.01053331,18.68863394
46722194,"P",-6.99351459896755,-1.9933843069624,28.5033266
46722194,"P",-6.99351459896755,-1.9933843069624,28.5033266
46722194,"P",-6.99351459896755,-1.9933843069624,28.5033266
46722194,"P",-5.09942624232619,-0.90526648,17.7523203
46722194,"P",-5.09942624232619,-0.90526648,17.7523203
46722194,"P",-5.09942624232619,-0.90526648,17.7523203
46722194,"P",-5.09942624232619,-0.90526648,17.7523203
46722194,"P",-7.1728474858949,-2.0806100614878,29.00675172
46722194,"P",-7.1728474858949,-2.0806100614878,29.00675172
46722194,"P",-7.1728474858949,-2.0806100614878,29.00675172
46722194,"P",-7.15091672969923,-2.0742486614878,29.00675172
46750643,"C",-4.7525213643064,-7.37719902999999,155.22705664
46397285,"P",-2.31709378339398,-11.2489708000001,485.47757888
46397285,"P",-2.76776978563747,-13.34370004,482.11018522
46397285,"P",-2.76776978563747,-13.34370004,482.11018522
46397285,"P",-2.76776978563747,-13.34370004,482.11018522
46397285,"P",-2.76776978563747,-13.34370004,482.11018522
46397285,"P",-2.76776978563747,-13.34370004,482.11018522
46397285,"P",-2.80941600133343,-10.40439631,370.3401812
46397285,"P",-2.80941600133343,-10.40439631,370.3401812
46397285,"P",-2.80941600133343,-10.40439631,370.3401812
46397285,"P",-2.80941600133343,-10.40439631,370.3401812
46397285,"P",-2.80941600133343,-10.40439631,370.3401812
46397285,"P",-2.14241616694175,-8.46227869000002,394.98762288
46397285,"P",-2.14241616694175,-8.46227869000002,394.98762288
46397285,"P",-2.14241616694175,-8.46227869000002,394.98762288
46397285,"P",-2.14241616694175,-8.46227869000002,394.98762288
46397285,"P",-2.14241616694175,-8.46227869000002,394.98762288
46397285,"P",-1.63160765823067,-6.50809663000002,398.87632282
46397285,"P",-1.63160765823067,-6.50809663000002,398.87632282
46397285,"P",-1.63160765823067,-6.50809663000002,398.87632282
46397285,"P",-1.63160765823067,-6.50809663000002,398.87632282
46397285,"P",-1.63160765823067,-6.50809663000002,398.87632282
46397285,"P",-2.31709378339398,-11.2489708000001,485.47757888
46397285,"P",-2.31709378339398,-11.2489708000001,485.47757888
46397285,"P",-2.31709378339398,-11.2489708000001,485.47757888
46397285,"P",-2.31709378339398,-11.2489708000001,485.47757888
46628967,"C",-2.6744373033912,-6.32104154999999,236.3503359
45247258,"C",-4.25097907440822,-11.04735195,259.87782477
45247258,"C",-4.25097907440822,-11.04735195,259.87782477
45247258,"C",-4.25097907440822,-11.04735195,259.87782477
45247258,"C",-3.27060765961198,-9.52274813999994,291.16143332
45247258,"C",-3.27060765961198,-9.52274813999994,291.16143332
45247258,"C",-3.27060765961198,-9.52274813999994,291.16143332
45247258,"C",-2.68325441190046,-8.79113881999997,327.6297164
45247258,"C",-2.68325441190046,-8.79113881999997,327.6297164
45247258,"C",-2.68325441190046,-8.79113881999997,327.6297164
46403658,"C",-2.40985863698081,-6.08134358,252.3527101
45262148,"C",-0.110328641777926,-0.754038729999941,683.44784985
45262148,"C",-0.110328641777926,-0.754038729999941,683.44784985
45262148,"C",-0.110328641777926,-0.754038729999941,683.44784985
45262148,"C",-0.110328641777926,-0.754038729999941,683.44784985
45262148,"C",-0.0590881546203974,-0.415005829999973,702.3502979
45262148,"C",-0.0590881546203974,-0.415005829999973,702.3502979
45262148,"C",-0.0590881546203974,-0.415005829999973,702.3502979
45262148,"C",-0.0590881546203974,-0.415005829999973,702.3502979
45262148,"C",-0.42813916736561,-2.43041569999986,567.66955356
45262148,"C",-0.42813916736561,-2.43041569999986,567.66955356
45262148,"C",-0.42813916736561,-2.43041569999986,567.66955356
45262148,"C",-0.42813916736561,-2.43041569999986,567.66955356
45262148,"C",-0.965156046853295,-3.72112415772015,385.54637562
45262148,"C",-0.965156046853295,-3.72112415772015,385.54637562
45262148,"C",-0.965156046853295,-3.72112415772015,385.54637562
45262148,"C",-0.965156046853295,-3.72112415772015,385.54637562
